dataset,seed,threshold,method,member,attack_score,nearest_ball,ball_size,ball_size_bin,purity,radius,refinement_depth,normalized_distance,dimension,redundant_fraction,label_noise
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4378593448236476,23,28,>20,0.9285714285714286,2.2178690093743256,21,0.7682057540355559,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5213088467080467,7,34,>20,0.9117647058823529,1.991772894442036,25,0.8961792634629095,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.67680027696199,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9013820650158417,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.3761227663819249,23,28,>20,0.9285714285714286,2.2178690093743256,21,0.8444743029643744,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.3794700884564592,37,50,>20,0.92,8.781214611436976,2,1.1127015454973055,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.999988325865871,2,1,1-2,1.0,0.0,5,,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9999988199089718,32,1,1-2,1.0,0.0,9,,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5959443616464802,0,95,>20,0.9052631578947369,8.751165166033246,1,1.0548630568552961,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5719109534634923,7,34,>20,0.9117647058823529,1.991772894442036,25,0.8490594921906012,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9993794541776322,3,2,1-2,1.0,5.316208194545837,12,1.0,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.46462805747168257,19,26,>20,0.9230769230769231,2.0055759382360074,22,0.8281409380147822,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9994051558548399,10,2,1-2,1.0,4.807174854962467,23,1.0,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5374394386027745,19,26,>20,0.9230769230769231,2.0055759382360074,22,0.9039838730508232,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6335923815987042,37,50,>20,0.92,8.781214611436976,2,1.0345089514433534,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9999995002098989,25,1,1-2,1.0,0.0,20,,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.7534964949932581,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9251838412148131,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6081478800718291,1,29,>20,0.9655172413793104,8.578064907965983,4,0.9250187137465841,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4268798448637215,19,26,>20,0.9230769230769231,2.0055759382360074,22,1.0306686840290689,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5613726192452911,37,50,>20,0.92,8.781214611436976,2,1.0690742381820175,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.12361027911824417,7,34,>20,0.9117647058823529,1.991772894442036,25,4.459621481571059,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.38651401644521416,1,29,>20,0.9655172413793104,8.578064907965983,4,1.163734801956515,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6353195693698782,37,50,>20,0.92,8.781214611436976,2,0.9882428444169379,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5398273954113026,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9292740889231765,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9999997273095185,11,1,1-2,1.0,0.0,22,,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.582790624813137,1,29,>20,0.9655172413793104,8.578064907965983,4,0.9121645775403239,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.509634707712879,37,50,>20,0.92,8.781214611436976,2,1.1774297235873674,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5578268016586213,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9104603245966858,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.37470236608956003,37,50,>20,0.92,8.781214611436976,2,1.0730727706393932,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.7272769189798606,1,29,>20,0.9655172413793104,8.578064907965983,4,0.8761817121439659,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5428158003623992,7,34,>20,0.9117647058823529,1.991772894442036,25,0.9751162961272264,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5810964175628415,37,50,>20,0.92,8.781214611436976,2,1.1537347828671551,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.7798790897126323,1,29,>20,0.9655172413793104,8.578064907965983,4,1.1039998501046004,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9999989882244532,34,1,1-2,1.0,0.0,7,,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.7237900778310744,0,95,>20,0.9052631578947369,8.751165166033246,1,0.8842736334179817,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5988407215452216,0,95,>20,0.9052631578947369,8.751165166033246,1,0.995056631061866,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.45316822745969604,0,95,>20,0.9052631578947369,8.751165166033246,1,1.1077052770942313,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4831655022814879,23,28,>20,0.9285714285714286,2.2178690093743256,21,0.8379687958492289,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4782691335820011,19,26,>20,0.9230769230769231,2.0055759382360074,22,0.8736876115754934,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6620666669328417,1,29,>20,0.9655172413793104,8.578064907965983,4,0.806392685281024,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.7275444883890873,37,50,>20,0.92,8.781214611436976,2,0.8392872829873412,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5626373204008335,7,34,>20,0.9117647058823529,1.991772894442036,25,0.9490002908959155,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6506528608341466,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9222831613682206,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4874332379086503,7,34,>20,0.9117647058823529,1.991772894442036,25,0.9423169978311403,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4245691829724063,23,28,>20,0.9285714285714286,2.2178690093743256,21,0.7724459458394985,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9984099580975021,10,2,1-2,1.0,4.807174854962467,23,0.9999999999999998,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9999882617802945,20,1,1-2,1.0,0.0,22,,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5229748600119707,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9779870611769393,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4646947047981563,0,95,>20,0.9052631578947369,8.751165166033246,1,1.100655133611486,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.46343514264883756,0,95,>20,0.9052631578947369,8.751165166033246,1,1.0027025234791593,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5042879309364279,37,50,>20,0.92,8.781214611436976,2,1.046590221646361,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6503739141581726,0,95,>20,0.9052631578947369,8.751165166033246,1,1.106068633957413,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6874268807433468,37,50,>20,0.92,8.781214611436976,2,0.8997612326636008,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9999928576269748,8,1,1-2,1.0,0.0,25,,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.7356454140771734,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9758173817112209,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9054349655952729,6,4,3-5,1.0,7.643617122736893,20,0.956739838463556,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4042761699397074,7,34,>20,0.9117647058823529,1.991772894442036,25,1.0196129906151516,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6244763608071751,7,34,>20,0.9117647058823529,1.991772894442036,25,0.9177207231068295,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6694396294905904,0,95,>20,0.9052631578947369,8.751165166033246,1,0.8764480783863973,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.7283613197202435,0,95,>20,0.9052631578947369,8.751165166033246,1,1.0055474760541847,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9999996546740779,22,1,1-2,1.0,0.0,20,,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.17725377430676517,7,34,>20,0.9117647058823529,1.991772894442036,25,4.036789898404648,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6913186705726544,1,29,>20,0.9655172413793104,8.578064907965983,4,1.1200485804719262,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4774500737369489,23,28,>20,0.9285714285714286,2.2178690093743256,21,0.7289573447874309,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4939924330161363,7,34,>20,0.9117647058823529,1.991772894442036,25,0.8330622580796248,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5724420875271021,1,29,>20,0.9655172413793104,8.578064907965983,4,1.1315688440051666,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4221962066420856,23,28,>20,0.9285714285714286,2.2178690093743256,21,0.7525608199443734,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5169881576539777,19,26,>20,0.9230769230769231,2.0055759382360074,22,0.869426146801325,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6260791389829556,0,95,>20,0.9052631578947369,8.751165166033246,1,0.8561126075660741,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9943339553560424,6,4,3-5,1.0,7.643617122736893,20,0.9456748772369948,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5551819394365389,7,34,>20,0.9117647058823529,1.991772894442036,25,0.8191855845289752,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.40124454129800186,37,50,>20,0.92,8.781214611436976,2,1.1277295335735313,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.17508409166693972,19,26,>20,0.9230769230769231,2.0055759382360074,22,4.579535233804079,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5237838308303218,23,28,>20,0.9285714285714286,2.2178690093743256,21,0.6356003255365339,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6773424846133572,37,50,>20,0.92,8.781214611436976,2,1.0161020199222723,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.36845204316153357,23,28,>20,0.9285714285714286,2.2178690093743256,21,0.957862137201242,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5077576448349699,0,95,>20,0.9052631578947369,8.751165166033246,1,1.0028245742733752,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.45665156809188684,0,95,>20,0.9052631578947369,8.751165166033246,1,1.1109562798470114,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6175390779832863,7,34,>20,0.9117647058823529,1.991772894442036,25,0.9393236723166247,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.571853630106204,37,50,>20,0.92,8.781214611436976,2,1.0451189588498984,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.48238357715270425,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9845517138482761,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.547365187567759,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9606439876229113,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5854026855234455,37,50,>20,0.92,8.781214611436976,2,0.9030794547102141,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4528682691808514,23,28,>20,0.9285714285714286,2.2178690093743256,21,0.9453862005632063,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.3952967093016242,23,28,>20,0.9285714285714286,2.2178690093743256,21,0.7976521934072872,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5432023304203139,0,95,>20,0.9052631578947369,8.751165166033246,1,1.0157296064118253,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9987086783849394,13,2,1-2,1.0,4.7169715900580895,18,1.0,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6391897492776141,37,50,>20,0.92,8.781214611436976,2,0.9532073509359722,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.2105323552301751,19,26,>20,0.9230769230769231,2.0055759382360074,22,3.5364985749720286,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.45197353910332283,23,28,>20,0.9285714285714286,2.2178690093743256,21,0.8138368320154378,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.999999718069239,33,1,1-2,1.0,0.0,8,,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6633113562502502,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9065158405829788,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5087749083803255,37,50,>20,0.92,8.781214611436976,2,1.0562782656981367,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4335319723163305,23,28,>20,0.9285714285714286,2.2178690093743256,21,0.8926849029327368,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4180392482626606,23,28,>20,0.9285714285714286,2.2178690093743256,21,0.7822838783029944,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5002519590778517,19,26,>20,0.9230769230769231,2.0055759382360074,22,0.8377134060934872,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.573073272043693,19,26,>20,0.9230769230769231,2.0055759382360074,22,0.7809059389005064,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4073127373451149,19,26,>20,0.9230769230769231,2.0055759382360074,22,0.855104784046224,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.41542092876965553,0,95,>20,0.9052631578947369,8.751165166033246,1,1.047958535183046,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5548273810872181,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9976196446359772,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5852312567854034,37,50,>20,0.92,8.781214611436976,2,0.8511308730399662,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5538777143486843,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9711299048682154,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6356313092979741,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9334488667423481,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9999996028243087,14,1,1-2,1.0,0.0,16,,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.7675364015420773,6,4,3-5,1.0,7.643617122736893,20,1.0930700650741456,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5630933199082339,1,29,>20,0.9655172413793104,8.578064907965983,4,0.9780843481440739,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9999632307984628,16,1,1-2,1.0,0.0,16,,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6315473817288213,7,34,>20,0.9117647058823529,1.991772894442036,25,0.9472666779069508,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4769691596591776,7,34,>20,0.9117647058823529,1.991772894442036,25,0.8786686894181625,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9845986492926431,3,2,1-2,1.0,5.316208194545837,12,1.0,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.539002056318756,0,95,>20,0.9052631578947369,8.751165166033246,1,1.1310352021223162,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5650530420172308,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9742891130778674,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4946294856006814,0,95,>20,0.9052631578947369,8.751165166033246,1,1.0367077765984964,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4112794256223589,37,50,>20,0.92,8.781214611436976,2,1.1358800057392584,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9999997365651799,36,1,1-2,1.0,0.0,3,,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.41007322893239595,23,28,>20,0.9285714285714286,2.2178690093743256,21,0.8249765191717967,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4222471565391397,19,26,>20,0.9230769230769231,2.0055759382360074,22,0.9536182491472713,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6815234104237577,0,95,>20,0.9052631578947369,8.751165166033246,1,0.782975218780859,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6075972412625231,0,95,>20,0.9052631578947369,8.751165166033246,1,0.8977965604427552,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9999991205094344,21,1,1-2,1.0,0.0,21,,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.2759814546391874,23,28,>20,0.9285714285714286,2.2178690093743256,21,3.5741991514881626,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5332195564143695,37,50,>20,0.92,8.781214611436976,2,0.8619835154944655,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.9999999449635314,29,1,1-2,1.0,0.0,13,,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.7564397153055967,1,29,>20,0.9655172413793104,8.578064907965983,4,0.9767251375577016,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6863696637067996,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9233138714017227,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4382453210322133,23,28,>20,0.9285714285714286,2.2178690093743256,21,0.8642605583820169,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.4882052475782946,23,28,>20,0.9285714285714286,2.2178690093743256,21,0.7492661722135812,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6676558487877418,1,29,>20,0.9655172413793104,8.578064907965983,4,1.0263896552242024,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5173188953260911,0,95,>20,0.9052631578947369,8.751165166033246,1,1.013161523875808,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6270485148320978,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9959377240802997,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.3638330800166988,19,26,>20,0.9230769230769231,2.0055759382360074,22,1.077186199783506,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6799079088508277,1,29,>20,0.9655172413793104,8.578064907965983,4,1.041151793362303,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5262362050879112,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9829775175175464,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5175481813091897,0,95,>20,0.9052631578947369,8.751165166033246,1,1.0759645935390887,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.7043035738768375,37,50,>20,0.92,8.781214611436976,2,0.9814540492510574,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.7119274577799571,0,95,>20,0.9052631578947369,8.751165166033246,1,1.0352199909297735,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.46806090414141,23,28,>20,0.9285714285714286,2.2178690093743256,21,0.7515799955750255,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6323674316196366,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9527117047231872,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6983910617484914,0,95,>20,0.9052631578947369,8.751165166033246,1,0.8880673349987355,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5512646856194312,7,34,>20,0.9117647058823529,1.991772894442036,25,0.9959609918427789,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.6633759437711451,1,29,>20,0.9655172413793104,8.578064907965983,4,0.9790147577627467,60,0.0,0.05
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1,0.5401982134447928,0,95,>20,0.9052631578947369,8.751165166033246,1,0.9447216281075579,60,0.0,0.05
