paper_id,title,year,venue,doi,openalex_id,url,primary_source_url,authors,citations_count,concepts,abstract_status,code_url,search_query,retrieved_at,verification_status,notes
P0011,"Synergy of Granular Computing, Shadowed Sets, and Three-way Decisions",2020,Information Sciences,10.1016/j.ins.2019.09.003,,https://www.semanticscholar.org/paper/b165068c08c5240fe87a821cddd0b78a20783aed,https://doi.org/10.1016/j.ins.2019.09.003,Davide Ciucci; Yiyu Yao,15,,not-available-from-enrichment,,shadowed set granular computing,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0012,Attribute Reduction Method Based on Improved Granular Ball Neighborhood Rough Set,2022,2022 7th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA),10.1109/icccbda55098.2022.9778889,,https://www.semanticscholar.org/paper/1788b6c028c542585535bd30c117548234d542e2,https://doi.org/10.1109/icccbda55098.2022.9778889,Han Xia; Zizhong Chen; YanMin Wu; JinLi Qi,1,,available-and-coded-not-redistributed,,granular ball rough set; granular ball neighborhood rough set; granular ball open set,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0013,Rule Inference Network based on Improved Granular Ball Neighborhood Rough Set,2024,2024 7th International Conference on Intelligent Robotics and Control Engineering (IRCE),10.1109/irce62232.2024.10739779,,https://www.semanticscholar.org/paper/82e30f732393c0f8fc12167bea907113f0341cc6,https://doi.org/10.1109/irce62232.2024.10739779,Yiming Zhong; Yunxia Zhang; Shilong Ma; Jing Bai,0,,available-and-coded-not-redistributed,,granular ball rough set; granular ball neighborhood rough set; granular ball open set,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0014,Boundary-driven granular ball generation and classification via three-way decision,2026,Information Sciences,10.1016/j.ins.2026.123780,,https://www.semanticscholar.org/paper/7137d25241c82bf4ede1bd45305bd6199c1ff749,https://doi.org/10.1016/j.ins.2026.123780,Shuang Wang; Jianming Zhan; Shuyin Xia; Weiping Ding,0,,not-available-from-enrichment,,granular ball generation; granular ball three-way decision,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0015,Granular-Ball Three-Way Decision for Robust Text Classification,2025,Lecture Notes in Computer Science,10.1007/978-3-031-92741-6_12,,https://www.semanticscholar.org/paper/c58ca3ea8c1428130692a35f7f674d0de834e4dd,https://doi.org/10.1007/978-3-031-92741-6_12,Jie Zhang; Yanhua Li; Xiaocao Ouyang; Lingfei Ren; Xin Yang,2,,not-available-from-enrichment,,granular ball three-way decision,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0016,A Granular-Ball SVM Based on Three-Way Decision,2025,Lecture Notes in Computer Science,10.1007/978-3-031-92741-6_3,,https://www.semanticscholar.org/paper/f931616b5d5d726c3a1093f0fdb489f2ad0232bf,https://doi.org/10.1007/978-3-031-92741-6_3,Rong Huang; Jie Yang; Yanmin Liu,0,,not-available-from-enrichment,,granular ball three-way decision,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0017,MFGB-S3W Denoiser: Multi-scale Fuzzy Granular-Ball and Sequential Three-Way Decision for Remote Sensing Image Denoising,2026,Communications in Computer and Information Science,10.1007/978-981-95-8262-4_11,,https://doi.org/10.1007/978-981-95-8262-4_11,https://doi.org/10.1007/978-981-95-8262-4_11,Jingjing Qian; Shuhua Su,0,,not-available-from-enrichment,,granular ball three-way decision,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0018,Granular Ball Fuzzy Neighborhood Rough Sets-Based Feature Selection via Multiobjective Mayfly Optimization,2024,IEEE Transactions on Fuzzy Systems,10.1109/tfuzz.2024.3440575,,https://www.semanticscholar.org/paper/16e107e2b426562f7d0890f2d5a2fcfc67c623c2,https://doi.org/10.1109/tfuzz.2024.3440575,Lin Sun; Hanbo Liang; Weiping Ding; Jiucheng Xu,26,,available-and-coded-not-redistributed,,granular ball neighborhood rough set; granular ball feature selection,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0019,Intuitionistic Fuzzy Three-Way Decision Model Based on the Three-Way Granular Computing Method,2020,Symmetry,10.3390/sym12071068,,https://www.semanticscholar.org/paper/af91ca62dee58a7fc5abaeb692acf3cefd1f66f0,https://doi.org/10.3390/sym12071068,Xianwei Xin; Jihua Song; Weiming Peng,4,,available-and-coded-not-redistributed,,granular ball three-way decision; three-way decision; three-way decision agent,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0020,A Three-Way Incremental Granular-Ball Classifier Using Shadowed Set,2026,IEEE Transactions on Emerging Topics in Computational Intelligence,10.1109/tetci.2026.3657948,,https://www.semanticscholar.org/paper/bb2fc9f60bca8c44ddb8e7ec96d6a70dd0dd31d8,https://doi.org/10.1109/tetci.2026.3657948,Jie Yang; Lingyun Xiaodiao; Guoyin Wang; Witold Pedrycz; Shuyin Xia; Di Wu; Qinghua Zhang,6,,available-and-coded-not-redistributed,,granular ball classifier; granular ball three-way decision; granular ball open set; shadowed set granular computing,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0021,Attribute reduction for partially labeled hybrid data based on generalized granular-ball neighborhood rough set model and Student-t kernel,2026,Information Sciences,10.1016/j.ins.2026.123424,,https://www.semanticscholar.org/paper/b90339215345b5b6cc37efcf56752f4bcf930cfc,https://doi.org/10.1016/j.ins.2026.123424,Zhaowen Li; Jingyi Sun; Guangming Xue; Yonghua Huang; Qingnian Li,0,,not-available-from-enrichment,,granular ball neighborhood rough set,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0022,Incremental reduction methods based on granular ball neighborhood rough sets and attribute grouping,2023,International Journal of Approximate Reasoning,10.1016/j.ijar.2023.108974,,https://doi.org/10.1016/j.ijar.2023.108974,https://doi.org/10.1016/j.ijar.2023.108974,Yan Li; Xiaoxue Wu; Xizhao Wang,12,,not-available-from-enrichment,,granular ball neighborhood rough set,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0023,Efficient and rapid attribute reduction based on local T-spherical fuzzy granular ball neighborhood rough sets,2026,Applied Soft Computing,10.1016/j.asoc.2025.114091,,https://www.semanticscholar.org/paper/9ef29580d8061562c91f083eefc0b177618485c0,https://doi.org/10.1016/j.asoc.2025.114091,Shihai Deng; Tingting Zheng; Longxiang Lai,3,,not-available-from-enrichment,,granular ball neighborhood rough set,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0024,A three-way decision combining multi-granularity variable precision fuzzy rough set and TOPSIS method,2025,International Journal of Approximate Reasoning,10.1016/j.ijar.2024.109318,,https://www.semanticscholar.org/paper/b3237ceb223b647aaa70073f21a9e8f08794384b,https://doi.org/10.1016/j.ijar.2024.109318,Chengzhao Jia; Lingqiang Li; Xinru Li,12,,not-available-from-enrichment,,multi-granularity learning rough set,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0025,Sequential Three-Way Decision of Tolerance- Based Multi-Granularity Fuzzy-Rough Sets,2019,IEEE Access,10.1109/access.2019.2954086,,https://www.semanticscholar.org/paper/a8203f64c294d0426c1b2d9e3030c8dfead622cc,https://doi.org/10.1109/access.2019.2954086,Hong Wang; Xiaohua Chai,1,,available-and-coded-not-redistributed,,sequential three-way decision,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0026,Three-way decision with granular rough sets,2025,Applied Soft Computing,10.1016/j.asoc.2025.113344,,https://www.semanticscholar.org/paper/e22fb930b0504d2d1529d9ef3ebfb919697cdad4,https://doi.org/10.1016/j.asoc.2025.113344,Junfang Luo; Mengjun Hu; Chengjun Shi; Yiyu Yao,3,,not-available-from-enrichment,,granular ball three-way decision; three-way decision; three-way classification rough set; three-way decision agent,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0027,A novel granular computing model based on three-way decision,2022,International Journal of Approximate Reasoning,10.1016/j.ijar.2022.01.015,,https://www.semanticscholar.org/paper/2c7d70b3f1d1cd13a4a7648e4a55f4813290c507,https://doi.org/10.1016/j.ijar.2022.01.015,Qingzhao Kong; Xiawei Zhang; Weihua Xu; Binghan Long,26,,not-available-from-enrichment,,granular ball three-way decision,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0028,"New advances in three-way decision, granular computing and concept lattice",2020,International Journal of Machine Learning and Cybernetics,10.1007/s13042-020-01117-3,,https://www.semanticscholar.org/paper/f67443d04b4c1706ae555387c0247f160c0f8f84,https://doi.org/10.1007/s13042-020-01117-3,Xizhao Wang; Jinhai Li,20,,not-available-from-enrichment,,granular ball three-way decision,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0029,Knowledge enhanced data analytics based on three-way decision and granular computing,2025,Applied Soft Computing,10.1016/j.asoc.2025.112712,,https://www.semanticscholar.org/paper/dc13b18257d97d047210f7f0994346e9fdb344f2,https://doi.org/10.1016/j.asoc.2025.112712,Weiping Ding; Jose Carlos R. Alcantud; Jianming Zhan; Oscar Castillo; Yiyu Yao,2,,not-available-from-enrichment,,granular ball three-way decision,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0030,Fuzzy Advantage Granular Ball Rough Set for Feature Selection via Deep Reinforcement Learning,2026,IEEE Transactions on Fuzzy Systems,10.1109/tfuzz.2026.3670185,,https://www.semanticscholar.org/paper/c69629105b6625ed9b8a557632cddfabe4d566e3,https://doi.org/10.1109/tfuzz.2026.3670185,Hanbo Liang; Yupeng Cao; Yisheng An; Weiping Ding; Xiangmo Zhao,1,,available-and-coded-not-redistributed,,granular ball rough set; granular ball neighborhood rough set; granular ball feature selection; granular ball deep learning; granular ball open set,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0031,Granular Computing and Sequential Three-Way Decisions,2013,Lecture Notes in Computer Science,10.1007/978-3-642-41299-8_3,,https://www.semanticscholar.org/paper/2acab42556cdf76da9ed36f67a126873c1aefafe,https://doi.org/10.1007/978-3-642-41299-8_3,Yiyu Yao,150,,not-available-from-enrichment,,three-way decisions Yao,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0032,Advances in three-way decisions and granular computing,2016,Knowledge-Based Systems,10.1016/j.knosys.2015.10.026,,https://www.semanticscholar.org/paper/ddadf606a481c1e2aa79f0b22ccc7cd1abcbe269,https://doi.org/10.1016/j.knosys.2015.10.026,Hamido Fujita; Tianrui Li; Yiyu Yao,64,,not-available-from-enrichment,,three-way decisions Yao,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0033,Granular-ball fuzzy rough set-based semi-supervised feature selection for label distribution learning,2026,Applied Soft Computing,10.1016/j.asoc.2026.115865,,https://www.semanticscholar.org/paper/a03f050503ede2ac412fd62f9c00ffe9b880effc,https://doi.org/10.1016/j.asoc.2026.115865,Wenbin Qian; Zhichao Xu; Lujie Cheng; Weiping Ding; Jiayang Wang,0,,not-available-from-enrichment,,granular ball rough set; granular ball neighborhood rough set; granular ball feature selection; granular ball open set,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0034,A Robust Three-Way Classifier With Shadowed Granular Balls Based on Justifiable Granularity,2025,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2025.3563889,,https://www.semanticscholar.org/paper/d930bf4c650e5126c0d404fd8af5f8ce21f638e0,https://doi.org/10.1109/tnnls.2025.3563889,Jie Yang; Lingyun Xiaodiao; Guoyin Wang; Witold Pedrycz; Shuyin Xia; Qinghua Zhang; Di Wu,26,,available-and-coded-not-redistributed,,justifiable granularity,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0035,Innovative multi-granularity granular-balls rough set for feature selection: Driving generalized multi-granularity rough set evolution with Zentropy integration,2025,Information Sciences,10.1016/j.ins.2025.122411,,https://www.semanticscholar.org/paper/1aa285fbd97cbadb6c09e2a34026465591f07375,https://doi.org/10.1016/j.ins.2025.122411,Weirui Ye; Weihua Xu,6,,available-and-coded-not-redistributed,,multi-granularity learning rough set,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0036,Improving multi-label classification under imbalance: A granular-ball rough set approach,2026,International Journal of Approximate Reasoning,10.1016/j.ijar.2026.109669,,https://www.semanticscholar.org/paper/48b4ed5d634d5a10dd94f6295dfb6fc3f237579f,https://doi.org/10.1016/j.ijar.2026.109669,Yuzhe Li; Weihua Xu,0,,not-available-from-enrichment,,granular ball rough set; granular ball neighborhood rough set; granular ball open set,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0037,A Weighted Granular-Ball Rough Set: Model and Attribute Reduction,2024,2024 International Conference on Machine Learning and Cybernetics (ICMLC),10.1109/icmlc63072.2024.10935042,,https://www.semanticscholar.org/paper/1ddb1b71220900545dbafa00320813c2ba4e0e15,https://doi.org/10.1109/icmlc63072.2024.10935042,Zhonghao Zhang; Jingjing Song; Huige Li; Eric C.C. Tsang,0,,available-and-coded-not-redistributed,,granular ball rough set; granular ball neighborhood rough set; granular ball open set,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0038,An integrated weighted granular-ball rough set model for attribute reduction,2026,Knowledge and Information Systems,10.1007/s10115-026-02849-4,,https://www.semanticscholar.org/paper/573ebcd7a52929300d71580520fff4521eed0bdd,https://doi.org/10.1007/s10115-026-02849-4,Zhonghao Zhang; Jingjing Song; Eric C. C. Tsang; Huige Li; Jianjun Chen,0,,not-available-from-enrichment,,granular ball rough set; granular ball neighborhood rough set; granular ball open set,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0039,Clinical Medical Test Decision-Making of Liver Disease Using Granular-Ball Rough Set,2024,Lecture Notes in Computer Science,10.1007/978-3-031-65668-2_18,,https://www.semanticscholar.org/paper/9ce5cdc33b757acb3004b160f413f3963fdec420,https://doi.org/10.1007/978-3-031-65668-2_18,Fanxin Xu; Zuqiang Su; Guoyin Wang,0,,not-available-from-enrichment,,granular ball rough set; granular ball neighborhood rough set; granular ball open set,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0040,Granular-ball rough set for robust twin support vector classification in medical image detection,2026,Applied Soft Computing,10.1016/j.asoc.2026.115875,,https://www.semanticscholar.org/paper/7093693e8692fe9485730606c1bf22f64f7f9cc4,https://doi.org/10.1016/j.asoc.2026.115875,Ruiyao Gao; Kai Qi,0,,not-available-from-enrichment,,granular ball rough set; granular ball neighborhood rough set; granular ball open set,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0041,Structured approximations as a basis for three-way decisions in rough set theory,2019,Knowledge-Based Systems,10.1016/j.knosys.2018.11.022,,https://www.semanticscholar.org/paper/60653e7b4a8c7435bbd55fe26c2500c2f88ef75d,https://doi.org/10.1016/j.knosys.2018.11.022,Mengjun Hu; Yiyu Yao,77,,available-and-coded-not-redistributed,,three-way classification rough set,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0042,Multi-objective attribute reduction in three-way decision-theoretic rough set model,2019,International Journal of Approximate Reasoning,10.1016/j.ijar.2018.12.008,,https://www.semanticscholar.org/paper/5ea6583434c4004da6c53d23c1c0183f589e5023,https://doi.org/10.1016/j.ijar.2018.12.008,Weiwei Li; Xiuyi Jia; Lu Wang; Bing Zhou,66,,available-and-coded-not-redistributed,,three-way classification rough set,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0043,On modeling similarity and three-way decision under incomplete information in rough set theory,2020,Knowledge-Based Systems,10.1016/j.knosys.2019.105251,,https://www.semanticscholar.org/paper/0ad80dea1a491c72fce93d9babe20d1bea14833f,https://doi.org/10.1016/j.knosys.2019.105251,Junfang Luo; Hamido Fujita; Yiyu Yao; Keyun Qin,75,,available-and-coded-not-redistributed,,three-way classification rough set,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0044,A three-way decision method based on fuzzy rough set models under incomplete environments,2021,Information Sciences,10.1016/j.ins.2021.06.088,,https://www.semanticscholar.org/paper/a148038c5280c711a3f38b162d22e348e1ed9799,https://doi.org/10.1016/j.ins.2021.06.088,Jin Ye; Jianming Zhan; Bingzhen Sun,50,,not-available-from-enrichment,,three-way classification rough set,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0045,Three-way decision based on confidence level change in rough set,2022,International Journal of Approximate Reasoning,10.1016/j.ijar.2022.01.007,,https://www.semanticscholar.org/paper/5d9cc39b934860b666c0627c66d3500a011b5b35,https://doi.org/10.1016/j.ijar.2022.01.007,Doudou Guo; Chunmao Jiang; Peng Wu,46,,not-available-from-enrichment,,three-way classification rough set,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0046,Three-Way Decisions Making Using Covering Based Fractional Orthotriple Fuzzy Rough Set Model,2020,Mathematics,10.3390/math8071121,,https://www.semanticscholar.org/paper/85ea60c2d4689b21dd780762cc839fe8610630bb,https://doi.org/10.3390/math8071121,Shougi S. Abosuliman; Saleem Abdullah; Muhammad Qiyas,29,,available-and-coded-not-redistributed,,three-way classification rough set,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0047,Conflict Analysis Triggered by Three-Way Decision and Pythagorean Fuzzy Rough Set,2024,International Journal of Computational Intelligence Systems,10.1007/s44196-023-00378-4,,https://www.semanticscholar.org/paper/620ab67dac047f51100a4faecfaef05bf2c4e61a,https://doi.org/10.1007/s44196-023-00378-4,Jie Zhao; Renxia Wan; Duoqian Miao,9,,available-and-coded-not-redistributed,,three-way classification rough set,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0048,Three-way decisions with decision-theoretic rough sets based on covering-based q-rung orthopair fuzzy rough set model,2021,Journal of Intelligent &amp; Fuzzy Systems,10.3233/jifs-202291,,https://www.semanticscholar.org/paper/ae451fd0d2deb939387016fc4c78b766b7e76a6a,https://doi.org/10.3233/jifs-202291,Fang Liu; Yi Liu; Saleem Abdullah,13,,available-and-coded-not-redistributed,,three-way classification rough set,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0049,Constructing Robust Fuzzy Rough Set Models Based on Three-way Decisions,2021,Cognitive Computation,10.1007/s12559-021-09863-4,,https://www.semanticscholar.org/paper/fc29950132fb5fa2af78eee7655329dbfe7a4146,https://doi.org/10.1007/s12559-021-09863-4,Jilin Yang; Xianyong Zhang; Keyun Qin,7,,not-available-from-enrichment,,three-way classification rough set,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
P0050,Conflict Analysis Based on Three-Way Decision Theoretic Fuzzy Rough Set over Two Universes,2020,Ingénierie des systèmes d information,10.18280/isi.250110,,https://www.semanticscholar.org/paper/caff169beaff9e4c5b4591e763542737cb3b5d05,https://doi.org/10.18280/isi.250110,Xiao Tang; Ting Zeng; Yang Tan; Benxiang Ding,5,,available-and-coded-not-redistributed,,three-way classification rough set,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0051,A Three-Way Decision Approach Combining Probabilistic and Decision-Theoretic Rough Set,2022,2022 IEEE/ACIS 22nd International Conference on Computer and Information Science (ICIS),10.1109/icis54925.2022.9882483,,https://www.semanticscholar.org/paper/c72e7d12f5dac76982c2fbdd4ead7d1fa9dfc3d2,https://doi.org/10.1109/icis54925.2022.9882483,Cong Guo; Zhihang Yu; Shiyu Wu; Libo Zhang; Xue Yan,0,,available-and-coded-not-redistributed,,three-way classification rough set,2026-08-24T09:54:11.062767+00:00,publisher-metadata+abstract-coded,Full-text/component verification pending unless upgraded in later commits.
P0052,Linguistic Z Number Fuzzy Probabilistic Rough Set and Their Corresponding Three-Way Decisions,2024,Studies in Fuzziness and Soft Computing,10.1007/978-3-031-65854-9_1,,https://doi.org/10.1007/978-3-031-65854-9_1,https://doi.org/10.1007/978-3-031-65854-9_1,Prasenjit Mandal; Sovan Samanta; Tofigh Allahviranloo; Madhumangal Pal,1,,not-available-from-enrichment,,three-way classification rough set,2026-08-24T09:54:11.062767+00:00,publisher-metadata-only,Full-text/component verification pending unless upgraded in later commits.
